SPEARFIT  재고 관리표,,,,,,,,,
상품코드,제품명,색상,사이즈,입고 수량,보유 수량,원가 (₩),판매가 (₩),입고일,비고
,스피어핏 우먼즈 슬림핏 크롭 골지 슬리브리스,아이보리,1사이즈,24,24,,,,
,스피어핏 우먼즈 슬림핏 크롭 골지 슬리브리스,아이보리,2사이즈,25,25,,,,
,스피어핏 우먼즈 슬림핏 크롭 골지 슬리브리스,검정,1사이즈,25,25,,,,
,스피어핏 우먼즈 슬림핏 크롭 골지 슬리브리스,검정,2사이즈,25,25,,,,
,스피어핏 심볼로고 액티브 스탠다드 티셔츠,,,,,,,,
,스피어핏 우먼즈 돌핀 팬츠,검정,1사이즈,28,28,,,,
,스피어핏 우먼즈 돌핀 팬츠,검정,2사이즈,28,28,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,검정,1사이즈,20,20,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,검정,2사이즈,19,18,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,검정,3사이즈,18,18,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,흰색,1사이즈,20,20,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,흰색,2사이즈,19,19,,,,
,스피어핏 오버핏 머슬베어 T-Shirt,흰색,3사이즈,19,19,,,,
,스피어핏 우먼즈 슬림핏 크롭후드집업,,,,,,,,
,스피어핏 데일리 머슬핏 티셔츠,검정,1사이즈,19,19,,,,
,스피어핏 데일리 머슬핏 티셔츠,검정,2사이즈,20,20,,,,
,스피어핏 데일리 머슬핏 티셔츠,검정,3사이즈,19,19,,,,
,스피어핏 스나이퍼 버뮤다 팬츠,검정,1사이즈,19,19,,,,
,스피어핏 스나이퍼 버뮤다 팬츠,검정,2사이즈,20,20,,,,
,스피어핏 스나이퍼 버뮤다 팬츠,검정,3사이즈,18,18,,,,
,스피어핏 리플렉티브 트랙 자켓,,1사이즈,27,27,,,,
,스피어핏 리플렉티브 트랙 자켓,,2사이즈,0,0,,,,
,스피어핏 리플렉티브 트랙 자켓,,3사이즈,26,26,,,,
,스피어핏 리플렉티브 트랙팬츠,,1사이즈,19,19,,,,
,스피어핏 리플렉티브 트랙팬츠,,2사이즈,2,2,,,,
,스피어핏 리플렉티브 트랙팬츠,,3사이즈,18,18,,,,
,스피어핏 리플렉티브 크롭 트랙 자켓,,1사이즈,24,24,,,,
,스피어핏 리플렉티브 크롭 트랙 자켓,,2사이즈,0,0,,,,
,스피어핏 심볼로고 슬리브리스,,,,,,,,
,스피어핏 데일리 볼캡,검정,FREE,,,,,,
,스피어핏 데일리 볼캡,네이비,FREE,,,,,,
,스피어핏 시그니처 볼캡,검정,FREE,,,,,,
,스피어핏 시그니처 볼캡,네이비,FREE,,,,,,
